training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
199.30576,0.053664472,0.007437405,0.009096794,-199.17772,199.17772,0.009567643,-181.26692,-199.31879,-232.91637,0.2456384,-0.49253273,9.567485,201.08914,1.1059054,0.04333008,0.0718146,-199.54994,199.54994,7.8665266,-182.03587,-199.69647,-224.16817,0.006675011253356933,166.87534594535828,-0.09638077051988629,-0.006319733797929826,-0.09666533701124394,-0.005832147197788521,35.68777171822666,25.099999999996967,0.0,25000.0,-2.0,-1000.0,500.0,2.1147384643554688,25000
264.49207,0.051603954,0.016217593,0.016957005,-264.2783,264.2783,0.024757847,-245.02927,-264.5871,-285.63467,0.30776206,-0.5770448,13.025448,267.55685,0.78658545,0.053370237,0.07375804,-266.23657,266.23657,10.351265,-237.97253,-266.3449,-279.37247,0.004572491312026978,281.18764185905457,0.00956236428280262,-0.04005825829320065,0.007612825266025113,-0.03239733237076326,35.68685330884676,25.099999999996967,0.0,50000.0,-2.0,-1000.0,500.0,2.2315545082092285,50000
309.57672,0.049301416,0.006726137,0.0075312033,-309.46014,309.46014,0.005222316,-296.84467,-309.58804,-318.275,0.19058253,-0.09391907,3.8524675,313.44485,1.4830674,0.0327322,0.058830906,-311.63446,311.63446,4.2160463,-288.8535,-311.6596,-317.54297,0.004977403783798218,405.62274527549744,-0.051042607733304275,-0.00015775797805255012,-0.05108463154613594,-0.00047124800875621945,35.584206242690485,25.099999999996967,0.0,75000.0,-2.0,-1000.0,500.0,2.166431188583374,75000
342.47192,0.03520514,0.007140927,0.007698854,-342.3653,342.3653,0.0063696974,-330.48883,-342.49762,-348.97662,0.09221279,-0.13135117,3.6987028,343.07605,0.9691925,0.026783139,0.05618452,-341.83902,341.83902,12.05512,-294.68933,-341.92575,-349.11658,0.004482415075302124,517.6831321716309,0.09684828927753074,-0.00037396827702743286,0.09685313667608056,0.00028896490086792155,36.05528552548807,25.099999999996967,0.0,100000.0,-2.0,-1000.0,500.0,2.327481269836426,100000
338.94373,0.03367,0.028103156,0.028220028,-338.62903,338.62903,0.061010953,-306.26785,-339.18982,-362.9088,0.51900613,-0.3318919,17.30677,339.50748,0.69895756,0.06803664,0.07840331,-338.12814,338.12814,174.25795,-143.9114,-338.3858,-358.258,0.004833130035400391,638.511391878128,0.11562229631389045,-0.026945966834652526,0.11456276507977825,-0.019390830873405925,-0.022405194303806324,25.099999999996967,0.0,125000.0,-2.0,-1000.0,500.0,2.2732555866241455,125000
294.03043,0.06792059,0.038147394,0.039766233,-293.58102,293.58102,0.09091465,-205.58694,-294.35718,-330.63962,0.49695534,-0.34964335,15.417482,297.2322,0.54819566,0.057071682,0.082810365,-296.11328,296.11328,15.630802,-230.09677,-296.30505,-322.86215,0.004541530456542969,752.0496618747711,-0.06440912614782017,0.004397016059951688,-0.06413768424169593,0.004977743178606283,-0.6387459377257187,25.099999999996967,0.0,150000.0,-2.0,-1000.0,500.0,2.0747792720794678,150000
282.08163,0.054993857,0.038948655,0.04018016,-281.63715,281.63715,0.22169183,-228.46779,-282.44653,-329.74615,0.70976794,-1.5631306,26.004065,294.77338,0.5158998,0.051027726,0.085600905,-293.7472,293.7472,25.479496,-202.28836,-293.9228,-318.42087,0.005092689037322998,879.3668994903564,-0.13400977086217108,0.12139246967982292,-0.12763778330010186,0.10761400611402393,23.80767081272751,25.099999999996967,0.0,175000.0,-2.0,-1000.0,500.0,2.1731104850769043,175000
269.14825,0.044927623,0.039078474,0.04010996,-268.71255,268.71255,0.16428211,-171.42929,-269.50797,-331.479,0.28212646,-0.3252318,14.986859,288.2258,1.0104157,0.053466994,0.086917855,-286.68073,286.68073,29.68614,-191.88051,-286.8526,-322.97723,0.004712973222732544,997.1912393569946,0.13069143474711328,0.012830987412042087,0.1314149257270564,0.007969701799943175,36.19944016595361,25.099999999996967,0.0,200000.0,-2.0,-1000.0,500.0,2.1489791870117188,200000
245.98044,0.04081757,0.042885426,0.043968942,-245.51077,245.51077,0.22115873,-182.86339,-246.39658,-325.68286,0.4249894,-0.81025386,24.424221,270.7805,0.5461306,0.072993994,0.09628315,-269.50443,269.50443,53.16129,-168.55115,-269.7647,-313.6659,0.005181313934326172,1126.7240982055664,0.05525868718184084,0.0012147066733824245,0.05528058710310587,0.00040758181396423267,-0.2104388778448683,25.099999999996967,0.0,225000.0,-2.0,-1000.0,500.0,2.162882089614868,225000
237.0878,0.048372366,0.05258074,0.054404736,-236.51363,236.51363,0.27894628,-169.25087,-237.61691,-300.4789,0.8735355,-0.76296043,30.443623,261.7317,0.51441944,0.07614254,0.10470551,-260.45584,260.45584,55.300415,-173.61633,-260.75027,-299.8841,0.0046482194328308106,1242.9295942783356,-0.04074127291254581,-0.0004682021516619078,-0.0407827785572629,-0.002249495052444556,27.087615195722158,25.099999999996967,0.0,250000.0,-2.0,-1000.0,500.0,2.2258450984954834,250000
