training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
325.4355,0.32562405,0.22181328,0.2714648,-322.89172,322.89172,2.9167666,-192.87947,-327.64032,-471.75937,4.0570073,-9.715942,119.975395,328.32788,0.6201049,0.22981158,0.32249174,-325.40967,325.40967,117.490204,-205.44386,-327.05984,-452.93774,0.010153949584960938,253.84875655174255,0.3125,0.3125,-0.18285851049010604,-0.030881498396943683,-0.1780650245792054,0.07234700720350587,29.48072170603603,25.249999999996884,0.0,25000.0,-5.0,-2486.0,500.0,3.72989821434021,25000
296.81406,0.2604513,0.20300119,0.22286172,-294.5236,294.5236,1.6434631,-179.83829,-298.64716,-442.45096,1.8211621,-3.7009296,77.91121,301.93768,0.7414703,0.22075152,0.31669304,-298.9887,298.9887,92.38332,-209.10104,-300.0553,-435.57996,0.007488860445022583,441.0702784061432,0.375,0.375,-0.2648295296347824,-0.0187761139088263,-0.2651988460604935,-0.004418542318089508,-1.3106329761068771,25.249999999996884,0.0,50000.0,-4.0,-2747.0,500.0,5.032341241836548,50000
302.6629,0.26611382,0.22288589,0.24526177,-300.16794,300.16794,3.5060692,-184.48305,-304.67947,-439.94434,5.3270626,-7.575532,210.75601,315.184,0.77099943,0.23430339,0.3259507,-312.06995,312.06995,129.84425,-202.03296,-313.716,-398.14737,0.009107895479202271,668.767676115036,0.4375,0.4375,-0.21064386627419746,0.01688583583347084,-0.20977065318245142,0.014894942536935936,-0.8896296621137866,25.249999999996884,0.0,75000.0,-11.0,-3687.0,500.0,3.9437334537506104,75000
259.26266,0.20973444,0.23296075,0.2410436,-256.72333,256.72333,2.4932556,-124.44703,-261.06848,-418.0242,1.8139831,-1.9588104,91.59974,274.26794,0.7751956,0.21036366,0.30063412,-271.3891,271.3891,105.757065,-170.54323,-273.37238,-356.60645,0.007601212720870972,858.7980029582977,0.3125,0.3125,-0.08514274549568522,-0.07582562610154792,-0.09123467626111854,-0.08947641848278416,28.010409641015933,25.249999999996884,0.0,100000.0,-5.0,-2301.0,500.0,3.026332378387451,100000
227.04007,0.21073632,0.19828938,0.21322183,-224.84644,224.84644,1.8156043,-112.52109,-228.67682,-390.19046,1.7250245,-1.300433,66.77079,247.19609,0.79815876,0.22571869,0.31778288,-244.14075,244.14075,88.88219,-153.776,-246.67726,-336.5976,0.008456790571212769,1070.2177755832672,0.3125,0.3125,-0.23025203967402785,0.001170952694945589,-0.23039869742938782,-0.0032846418041664006,-1.0234440997129943,25.249999999996884,0.0,125000.0,-7.0,-3521.0,500.0,3.0135910511016846,125000
222.8685,0.2564055,0.21394758,0.22913317,-220.47263,220.47263,2.3787537,-127.69618,-224.64517,-390.2846,1.6411551,-2.3323903,81.958496,233.63414,0.74126065,0.24063866,0.3274468,-230.4865,230.4865,100.95384,-146.98729,-233.26425,-314.33344,0.007719249258041382,1263.1990163326263,0.375,0.375,-0.19157980715497053,0.011372817719512818,-0.19061900377911964,0.01068868854236186,-0.9087078733220094,25.249999999996884,0.0,150000.0,-4.0,-1627.0,500.0,4.2099127769470215,150000
209.3683,0.2111589,0.17889588,0.18979645,-207.36818,207.36818,2.086679,-119.18363,-210.85147,-395.60233,1.0400352,-2.912826,64.009056,240.69539,0.7628686,0.23245004,0.31182623,-237.60802,237.60802,80.68483,-137.64969,-240.18927,-319.04248,0.008753382797241211,1482.0335960388184,0.375,0.375,-0.14601901823350086,-0.0015532462533075389,-0.1462485008869413,-0.0034814401270151047,-0.6988778008452288,25.249999999996884,0.0,175000.0,-4.0,-2615.0,500.0,4.864231586456299,175000
224.16211,0.19446991,0.16111287,0.16208792,-222.3565,222.3565,3.1715164,-133.71199,-225.45436,-403.05096,2.1114976,-2.1327982,87.047485,261.25394,0.74839145,0.24782829,0.3309004,-258.02725,258.02725,95.058945,-159.60704,-260.06723,-363.98407,0.007394181032180786,1666.8881323337555,0.375,0.375,-0.3378127194849998,0.01896450911087464,-0.3378993615008407,0.0065297367147821896,-1.4984833147787844,25.249999999996884,0.0,200000.0,-2.0,-1140.0,500.0,5.526656866073608,200000
196.88216,0.16648857,0.17796603,0.18998264,-194.936,194.936,2.1602724,-46.809776,-198.65488,-374.08524,1.8944453,-1.9556354,81.94785,229.28067,0.77470535,0.24521609,0.31573087,-226.0538,226.0538,120.72398,-127.03917,-228.2092,-320.20364,0.009058703632354736,1893.355732679367,0.375,0.375,-0.17977390145968605,0.00028608242256693625,-0.17988813270331366,-0.0035400810754019035,1.1238517041238156,25.249999999996884,0.0,225000.0,-2.0,-1190.0,500.0,4.268256664276123,225000
191.42476,0.17983171,0.187652,0.20544986,-189.36841,189.36841,1.733979,-74.557976,-193.11844,-339.29657,1.3967452,-1.0672637,66.593124,224.22044,0.734168,0.2127912,0.2740526,-221.35837,221.35837,86.92951,-140.41287,-223.49438,-305.44388,0.007773552665710449,2087.6945576667786,0.375,0.375,-0.25498928872920107,0.00372462330936845,-0.25462546285711485,0.006231926812750181,-1.1427559662636377,25.249999999996884,0.0,250000.0,-2.0,-1169.0,500.0,3.531081199645996,250000
172.77377,0.18171819,0.15163384,0.16258061,-171.07571,171.07571,1.7507464,-89.54591,-174.3184,-330.07202,2.1865413,-1.2728965,62.04692,213.11531,0.6093149,0.23374338,0.3052967,-210.16856,210.16856,104.87909,-117.69641,-212.55588,-309.3175,0.008171476888656616,2291.981488466263,0.5625,0.5625,-0.16408699421326162,-0.00033636476349768236,-0.16433179592624636,-0.0029579143720830496,35.434014691908345,25.249999999996884,0.0,275000.0,-7.0,-2059.0,500.0,6.315792798995972,275000
180.79742,0.1999799,0.16194835,0.18014783,-178.97797,178.97797,1.9946187,-91.26076,-182.34177,-357.93945,0.9848606,-0.94497454,63.42205,223.16595,0.75031716,0.21842599,0.29997048,-220.23138,220.23138,116.19504,-131.74158,-222.63673,-307.73117,0.00734558388710022,2475.621096134186,0.375,0.375,-0.28215971846213656,0.004459705134747526,-0.2822688266402945,-0.0013207830642798352,-1.2460015595886813,25.249999999996884,0.0,300000.0,-2.0,-1575.0,500.0,3.479311943054199,300000
181.6644,0.17465003,0.14334133,0.15118627,-180.05634,180.05634,1.3385308,-107.078995,-182.75604,-349.6691,0.69812834,-1.2895336,46.175053,227.46043,0.62502134,0.20817797,0.28430915,-224.75363,224.75363,100.47635,-143.93706,-226.7601,-302.6931,0.009377956132888794,2710.0700092315674,0.375,0.375,-0.15496838321975132,0.001095543170759534,-0.15434829208595655,0.010268444577549532,11.618209282830728,25.249999999996884,0.0,325000.0,-2.0,-1193.0,500.0,4.998673439025879,325000
172.57455,0.18429156,0.15645964,0.16599391,-170.82567,170.82567,1.9051301,-81.94137,-174.12341,-352.80353,1.937061,-1.8738889,65.890045,223.01466,0.8777766,0.23129988,0.29444045,-219.82388,219.82388,131.38553,-146.7903,-222.2573,-300.0441,0.007560550289154052,2899.083779811859,0.375,0.375,-0.31076537263498183,-0.009241611499998626,-0.31048607467919137,0.00821925068513018,-1.386463386196091,25.249999999996884,0.0,350000.0,-2.0,-1835.0,500.0,5.062199831008911,350000
177.72485,0.15363853,0.13758235,0.14347146,-176.19539,176.19539,1.3651783,-99.34483,-178.9594,-364.58063,0.7728534,-1.062817,41.843994,224.65092,0.8871795,0.22519235,0.28131923,-221.51183,221.51183,71.962685,-149.3709,-223.30063,-310.69785,0.009141706790924072,3127.6264588832855,0.375,0.375,-0.12814076904797486,0.022748467805169637,-0.12869845145491252,-0.008592813912827794,17.79905343415004,25.249999999996884,0.0,375000.0,-2.0,-1168.0,500.0,4.4281628131866455,375000
