training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
81.19296,0.05451585,0.012370578,0.013494677,-81.01474,81.01474,0.0372681,-75.73021,-81.25783,-100.02898,0.27682096,-0.357093,9.30085,106.423355,0.95284843,0.09115582,0.15599476,-104.55895,104.55895,83.78195,-47.344814,-105.259254,-188.44,0.009131953077316284,228.29889011383057,0.5,0.5,-0.3532463701878866,-0.0030738851328234226,-0.35331968604825303,-0.001240690485651143,34.73380202736508,37.59999999999999,0.0,24750.0,-1.0,-776.0,750.0,3.7148208618164062,25000
67.85056,0.055305656,0.02256023,0.024316771,-67.56966,67.56966,0.039032698,-53.213455,-67.99322,-96.739555,0.3537898,-0.1725001,10.655386,107.86218,0.8423274,0.5764987,0.21057001,-101.25487,101.25487,118.88114,-53.177498,-102.05865,-189.69868,0.005882794380187988,375.3687641620636,0.5,0.5,-0.1441319860115625,0.009710092754988133,-0.14368819790578663,0.0075698363547246385,35.455766267902824,37.59999999999999,0.0,49500.0,-1.0,-760.0,750.0,5.2234930992126465,50000
66.765785,0.045761503,0.03437647,0.035473075,-66.37626,66.37626,0.0867423,-39.209908,-67.00339,-119.88915,0.41092634,-0.3236604,12.509687,102.74864,1.5900817,0.7854207,0.26719326,-93.30435,93.30435,127.11725,-11.492279,-94.03882,-175.49348,0.007593787326812744,565.2134575843811,0.5,0.5,-0.3399199144648554,-0.002254881236374362,-0.34001555784679555,-0.0025701420242183405,27.398934906311844,37.59999999999999,0.0,75000.0,-1.0,-762.0,750.0,4.826229572296143,75000
65.38019,0.058613133,0.040847007,0.042296972,-64.9131,64.9131,0.10182272,-36.37537,-65.699066,-123.80134,0.48573935,-0.7314148,12.883905,99.45021,2.8242145,0.8160376,0.2681184,-88.46562,88.46562,77.24002,-43.520393,-89.28664,-168.93431,0.005858279914855957,711.6704716682434,0.5,0.5,-0.20811256741036172,-0.024938967816674262,-0.20940387688519752,-0.024012847424607343,35.460956849469056,37.59999999999999,0.0,99750.0,-1.0,-856.0,750.0,4.314628839492798,100000
64.723946,0.047534086,0.019602302,0.021054035,-64.480385,64.480385,0.038420312,-51.93333,-64.87482,-99.762314,0.115985006,-0.33830154,8.208447,111.84578,15.6296,0.50815505,0.25297162,-91.13463,91.13463,94.257706,-57.045986,-91.99465,-163.69156,0.007300138912200928,894.1739568710327,0.5,0.5,-0.14776757610677638,-0.008902083663217486,-0.1483137874918677,-0.011770951228789501,35.617845507838815,37.59999999999999,0.0,124500.0,-1.0,-762.0,750.0,3.6081199645996094,125000
60.90876,0.053608593,0.048772763,0.050288595,-60.367424,60.367424,0.2526508,-20.853495,-61.328754,-114.54841,0.8229592,-0.7048323,21.5864,182.11632,99.55234,0.7235901,0.30178484,-75.32808,75.32808,63.060555,-38.286922,-76.63335,-152.29282,0.006443029289245605,1055.2496988773346,0.5,0.5,-0.017078836939194028,0.015311391488737785,-0.01630215468266856,0.015321735731741346,35.82173660246179,37.59999999999999,0.0,150000.0,-1.0,-781.0,750.0,4.29184627532959,150000
60.045086,0.080217145,0.027727356,0.027990485,-59.687595,59.687595,0.30389023,-24.620798,-60.197582,-113.22845,0.37124205,-0.4493535,12.2515335,291.08636,197.17755,1.9627379,0.2873934,-74.28144,74.28144,75.80781,-40.48057,-75.44624,-150.82526,0.008067349395751953,1256.933444261551,0.5,0.5,-0.22593750198628645,0.004763557861107168,-0.22617939368049889,0.0022789478455414367,35.05486635596089,37.59999999999999,0.0,174750.0,-1.0,-789.0,750.0,5.033895015716553,175000
61.935707,0.061390396,0.024470095,0.025749236,-61.629616,61.629616,0.091014184,-44.493202,-62.086823,-117.716286,0.0978242,-0.3149178,8.170929,500.22287,414.54327,0.9421364,0.25779656,-76.25824,76.25824,66.88834,-52.950417,-77.35519,-132.81451,0.006166055469512939,1411.0848417282104,0.5,0.5,0.18265669570752685,-0.0016675705668539702,0.18274672565261446,0.001499141190615079,36.6536570098575,37.59999999999999,0.0,199500.0,-1.0,-938.0,750.0,5.755789041519165,200000
63.30399,0.04438174,0.03500382,0.03581103,-62.90957,62.90957,0.14799479,-37.992085,-63.614895,-129.32307,0.38965902,-0.30098695,8.666569,1327.9609,1244.5706,0.9608157,0.2824269,-73.78218,73.78218,99.82655,-43.419964,-74.078384,-135.44675,0.007300070533752441,1593.5866150856018,0.5,0.5,-0.40384969760236444,-1.3407798877901334e-05,-0.4038839374626179,6.65418659091872e-05,19.20976659116338,37.59999999999999,0.0,225000.0,-3.0,-2155.0,750.0,5.052142858505249,225000
56.9063,0.0796845,0.037756238,0.040706176,-56.44905,56.44905,0.6368175,-6.2078743,-57.20519,-99.80142,1.3832145,-1.0265282,25.612522,1219.5001,1144.9686,0.81730556,0.28077915,-66.358444,66.358444,93.98275,-26.744879,-66.851265,-127.64563,0.006335000152587891,1751.9616289138794,0.5,0.5,0.2017201356216351,0.00019581266219096663,0.20171866605575114,0.0003963054025847926,36.663375601368685,37.59999999999999,0.0,249750.0,-1.0,-762.0,750.0,4.139429569244385,250000
55.49545,0.047772635,0.03820011,0.03890631,-55.065674,55.065674,0.16754285,-25.199657,-55.821457,-95.55863,0.44558555,-0.46429735,13.176576,3059.7715,2986.3337,0.8797806,0.23628674,-64.63988,64.63988,92.51381,-30.764578,-65.02902,-110.71972,0.007521655864715576,1940.0030364990234,0.5,0.5,-0.31770828590497496,0.00024023804928218178,-0.3176625401859259,0.0006323453778918929,34.744094328808494,37.59999999999999,0.0,274500.0,-1.0,-1359.0,750.0,4.177686929702759,275000
51.57522,0.045158755,0.028311137,0.030409878,-51.24695,51.24695,0.14419104,-25.757849,-51.793285,-133.185,0.38658983,-0.32096317,9.48415,7706.0894,7634.0522,0.70839804,0.23825474,-64.95322,64.95322,51.65383,-27.828386,-65.50249,-99.64688,0.005912543201446533,2087.8166263103485,0.5,0.5,-0.006299629762983633,-0.017820328288983226,-0.006881829547831065,-0.01105649262587424,35.94743463191079,37.59999999999999,0.0,300000.0,-1.0,-770.0,750.0,6.73466420173645,300000
58.09553,0.06577992,0.027438128,0.029634757,-57.75537,57.75537,0.13233301,-33.213795,-58.295486,-139.13853,0.37727332,-0.28407028,10.439388,14353.574,14275.775,0.97676986,0.25598264,-68.03125,68.03125,47.75489,-47.623608,-68.284424,-99.835266,0.007088743486404419,2265.035223722458,0.5,0.5,-0.3141964573147118,0.0005748234737402374,-0.31415518977271095,6.21919889301279e-05,34.79179241473326,37.59999999999999,0.0,324750.0,-1.0,-833.0,750.0,4.449509859085083,325000
63.504795,0.063523285,0.033696394,0.034423377,-63.10431,63.10431,0.11115423,-22.342419,-63.748367,-106.87988,0.20599109,-0.20328215,8.6141615,16133.38,16053.116,0.84794706,0.2371717,-71.784134,71.784134,60.97679,-47.566017,-71.89656,-107.468544,0.006336421718597412,2423.4457788467407,0.5,0.5,-0.10422966975892464,-0.03843604394300031,-0.10677947379133325,-0.04189042564568296,22.715058721050415,37.59999999999999,0.0,349500.0,-1.0,-909.0,750.0,5.473312854766846,350000
61.584377,0.054256286,0.021301894,0.021434622,-61.3171,61.3171,0.08270858,-42.223583,-61.736897,-119.731224,0.158381,-0.13316068,7.031563,54867.84,54785.47,1.1178248,0.2492938,-71.19034,71.19034,38.399834,-50.061188,-71.30652,-122.09073,0.007501042470932007,2610.97185254097,0.5,0.5,-0.18276756833975358,-0.019997043860522524,-0.18321080710136617,-0.011327060446231565,-0.9220035807251337,37.59999999999999,0.0,375000.0,-1.0,-758.0,750.0,4.579094409942627,375000
