run_id,server,machine_tag,root_path,eval_csv,train_csv,command_txt,domain,task_id,env,config_name,method_group,seed,target_steps,final_step,status,final_success,final_return,final_length,best_peak_success,best_peak_step,best_peak_return,best_peak_length,peak_after_500k_success,peak_after_500k_step,drop_final_from_peak,trajectory_short,has_train_csv,has_command_txt,has_checkpoint,notes,source_kind,source_file
single4090__audit__cube-double-play-singletask-task1-v0__P0_particle__seed2__300000__sd002_20260621_152745,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/command.txt,cube-double-play,task1,cube-double-play-singletask-task1-v0,P0_particle,P0,2,300000,300000,completed_300k,0.7,-257.6,245.4,0.7,300000,-257.6,245.4,,,0.0,1:0 -> 100k:0.2 -> 200k:0.3 -> 300k:0.7,True,True,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__A1_action_std_lam0p001__seed2__300000__sd002_20260609_071050,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,A1_action_std_lam0p001,A1,2,300000,300000,completed_300k,0.1,-875.0,464.3,0.1,250000,-834.4,464.2,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__A2_action_std_lam0p003__seed2__300000__sd002_20260609_082343,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.3,-763.1,395.8,0.3,300000,-763.1,395.8,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.3,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__FullSafe__seed0__1000000__sd000_20260526_110014,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,FullSafe,0,1000000,1000000,completed_1m,0.8,-375.8,248.5,0.9,650000,-286.6,186.3,0.9,650000,-0.09999999999999998,1:0 -> 100k:0 -> 200k:0 -> 300k:0.4 -> 400k:0.4 -> 500k:0.6 -> 600k:0.8 -> 700k:0.8 -> 800k:0.8 -> 900k:0.7 -> 1000k:0.8,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd000_20260526_110014/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__FullSafe__seed1__1000000__sd001_20260526_150201,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,FullSafe,1,1000000,1000000,completed_1m,0.9,-372.8,227.6,0.9,900000,-298.0,211.9,0.9,900000,0.0,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.1 -> 400k:0.1 -> 500k:0.2 -> 600k:0.4 -> 700k:0.7 -> 800k:0.6 -> 900k:0.9 -> 1000k:0.9,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd001_20260526_150201/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__FullSafe__seed2__1000000__sd002_20260526_190350,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,FullSafe,FullSafe,2,1000000,1000000,completed_1m,1.0,-273.5,188.3,1.0,750000,-354.8,237.4,1.0,750000,0.0,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.3 -> 400k:0.7 -> 500k:0.6 -> 600k:0.8 -> 700k:0.8 -> 800k:0.3 -> 900k:0.4 -> 1000k:1,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__MinimalSB_lam0p0003__seed2__300000__sd002_20260609_044414,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,MinimalSB_lam0p0003,MinimalSB,2,300000,300000,completed_300k,0.3,-726.2,396.3,0.3,300000,-726.2,396.3,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.3,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__MinimalSB_lam0p001__seed2__300000__sd002_20260609_055808,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,MinimalSB_lam0p001,MinimalSB,2,300000,300000,completed_300k,0.3,-672.3,394.1,0.3,300000,-672.3,394.1,,,0.0,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.3,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__P0_particle__seed2__300000__sd002_20260609_033015,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,P0_particle,P0,2,300000,300000,completed_300k,0.2,-841.9,430.1,0.2,300000,-841.9,430.1,,,0.0,1:0 -> 100k:0 -> 200k:0 -> 300k:0.2,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/eval.csv
single4090__audit__cube-double-play-singletask-task2-v0__R2_residual_disagree_lam0p001__seed2__300000__sd002_20260609_093631,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/train.csv,,cube-double-play,task2,cube-double-play-singletask-task2-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.2,-865.4,454.7,0.2,250000,-806.0,438.8,,,0.0,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.2,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/eval.csv
