run_id,server,machine_tag,modality,stage,protocol,env,domain,task_id,method_group,config_name,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,success_peak_after_500k,peak_step_after_500k,valueflow_success_mean,delta_vs_valueflow,eval_csv,train_csv,command_txt,run_dir,output_base,local_backup_path,git_branch,git_head,timestamp_start,timestamp_update,notes
single4090__stageA_300k__cube-double-play-singletask-task2-v0__A1_action_std_lam0p001__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.1,-875,464.3,0.1,250000,,,0.76,-0.66,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 07:10:50,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__A2_action_std_lam0p003__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,A2_action_std,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.3,-763.1,395.8,0.3,300000,,,0.76,-0.46,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 08:23:43,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__MinimalSB_lam0p0003__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,MinimalSB,MinimalSB_lam0p0003,2,300000,300000,COMPLETED,0.3,-726.2,396.3,0.3,300000,,,0.76,-0.46,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 04:44:14,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__MinimalSB_lam0p001__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,MinimalSB,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0.3,-672.3,394.1,0.3,300000,,,0.76,-0.46,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 05:58:08,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__P0_particle__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,P0,P0_particle,2,300000,300000,COMPLETED,0.2,-841.9,430.1,0.2,300000,,,0.76,-0.56,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 03:30:15,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__R2_residual_disagree_lam0p001__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R2_residual_disagree,R2_residual_disagree_lam0p001,2,300000,300000,COMPLETED,0.2,-865.4,454.7,0.2,250000,,,0.76,-0.56,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 09:36:31,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task2-v0__R3_residual_disagree_typicality_lam0p001__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality,R3_residual_disagree_typicality_lam0p001,2,300000,300000,COMPLETED,0.4,-644.3,365,0.4,300000,,,0.76,-0.36,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 10:49:58,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task3-v0__A1_action_std_lam0p001__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task3-v0,cube-double-play,task3,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.4,-681.6,391.5,0.4,300000,,,0.73,-0.33,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A1_action_std_lam0p001_seed2/sd002_20260609_154329,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 15:43:29,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task3-v0__A2_action_std_lam0p003__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task3-v0,cube-double-play,task3,A2_action_std,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.5,-625.1,339.3,0.5,300000,,,0.73,-0.23,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 16:56:39,2026-06-16 09:36:23,
single4090__stageA_300k__cube-double-play-singletask-task3-v0__MinimalSB_lam0p0003__seed2__300000,single4090,seeta-codex,state,stageA_300k,300k_screening,cube-double-play-singletask-task3-v0,cube-double-play,task3,MinimalSB,MinimalSB_lam0p0003,2,300000,300000,COMPLETED,0.4,-645.7,398,0.4,300000,,,0.73,-0.33,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_MinimalSB_lam0p0003_seed2/sd002_20260609_131645,/root/sb-value-flows/exp/bad_task_repair_single4090,,results/historical-inventory-single4090,9f8221ec52eacf8a7d1f0d1efd8f9ee2d01b4e74,2026-06-09 13:16:45,2026-06-16 09:36:23,
