scenario,panel,env_name,method,method_label,seed,online_step,success_rate,eval_episodes,run_dir,used_in_final_figure
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,0,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,1,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,50000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,100000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,150000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,200000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,250000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,300000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,350000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,400000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,450000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,500000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,550000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,600000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,650000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,700000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,750000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,800000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,850000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,900000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,950000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,2,1000000,0.0,10,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,True
