scenario,panel,env,method,method_label,config_name,seed,online_steps,final_step,status,final_success,best_peak_success,best_peak_step,drop,run_dir,eval_csv,train_csv,command_txt,checkpoint_source,used_in_final_figure,run_stage,notes
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,final1m_r1p0_default,2,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/o2o_final_cube-double_fql_final1m_r1p0_default_seed2/sd002_20260705_140917/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/o2o_pretrain_cube-double_fql_ckpt500k_default_seed2/sd002_20260704_024633,True,final,
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,fql,FQL,final1m_r1p0_default,3,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/sd003_20260707_132052,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/sd003_20260707_132052/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/sd003_20260707_132052/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/o2o_final_cube-double_fql_final1m_r1p0_default_seed3/sd003_20260707_132052/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/o2o_pretrain_cube-double_fql_ckpt500k_default_seed3/sd003_20260707_125546,True,final,
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,ours,Ours,final1m_r1p0_lam1e-3_tau0p3,2,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_063839,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_063839/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_063839/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_063839/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_000526,True,final,
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,ours,Ours,final1m_r1p0_lam1e-3_tau0p3,3,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260705_213441,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260705_213441/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260705_213441/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_cube-double_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260705_213441/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_cube-double_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260705_192934,True,final,
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,value_flows,Value Flows,final1m_r1p0_default,2,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/sd002_20260705_005858,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/sd002_20260705_005858/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/sd002_20260705_005858/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed2/sd002_20260705_005858/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed2/sd002_20260703_154854,True,final,
cube-double,cube-double task4,cube-double-play-singletask-task4-v0,value_flows,Value Flows,final1m_r1p0_default,3,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/sd003_20260706_213516,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/sd003_20260706_213516/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/sd003_20260706_213516/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/o2o_final_cube-double_value_flows_final1m_r1p0_default_seed3/sd003_20260706_213516/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/o2o_pretrain_cube-double_value_flows_ckpt500k_default_seed3/sd003_20260706_201510,True,final,
puzzle-4x4,puzzle-4x4 task3,puzzle-4x4-play-singletask-task3-v0,fql,FQL,final1m_r1p0_default,2,1000000,1000000,completed_1m,1.0,1.0,200000,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/sd002_20260705_153922,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/sd002_20260705_153922/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/sd002_20260705_153922/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed2/sd002_20260705_153922/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed2/sd002_20260704_035144,True,final,
puzzle-4x4,puzzle-4x4 task3,puzzle-4x4-play-singletask-task3-v0,fql,FQL,final1m_r1p0_default,3,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/sd003_20260707_151103,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/sd003_20260707_151103/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/sd003_20260707_151103/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/o2o_final_puzzle-4x4_fql_final1m_r1p0_default_seed3/sd003_20260707_151103/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/o2o_pretrain_puzzle-4x4_fql_ckpt500k_default_seed3/sd003_20260707_144557,True,final,
puzzle-4x4,puzzle-4x4 task3,puzzle-4x4-play-singletask-task3-v0,ours,Ours,final1m_r1p0_lam1e-3_tau0p3,2,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_122346,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_122346/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_122346/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed2/sd002_20260704_122346/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed2/sd002_20260703_051144,True,final,
puzzle-4x4,puzzle-4x4 task3,puzzle-4x4-play-singletask-task3-v0,ours,Ours,final1m_r1p0_lam1e-3_tau0p3,3,1000000,1000000,completed_1m,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260706_052452,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260706_052452/eval.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260706_052452/train.csv,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/o2o_final_puzzle-4x4_ours_final1m_r1p0_lam1e-3_tau0p3_seed3/sd003_20260706_052452/command.txt,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/o2o_pretrain_puzzle-4x4_ours_ckpt500k_lam1e-3_tau0p3_seed3/sd003_20260706_031946,True,final,
