scenario,env,method,config_name,seed,online_sample_ratio,pm_sb_lambda,tau_post,online_steps,final_success,best_peak_success,best_peak_step,drop,run_dir,decision,notes
scene,scene-play-singletask-task4-v0,ours,tune_r0p5_lam1e-3_tau0p3,2,0.5,1e-3,0.3,500000,0.0,0.0,500000,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_screen_scene_ours_tune_r0p5_lam1e-3_tau0p3_seed2/o2o_screen_scene_ours_tune_r0p5_lam1e-3_tau0p3_seed2/sd002_20260707_200517,rejected,Mixed offline/online replay did not recover scene seed2; success stayed 0 through 500k. Suspect online RPG evaluation/extraction mismatch for Ours because restored checkpoint had offline pretrain success but online step0 evaluates to 0.
scene,scene-play-singletask-task4-v0,ours,tune_r0p5_lam1e-3_tau0p3,2,0.5,1e-3,0.3,500000,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_screen_scene_ours_tune_r0p5_lam1e-3_tau0p3_seed2/o2o_screen_scene_ours_tune_r0p5_lam1e-3_tau0p3_seed2/sd002_20260707_200523,rejected_low_success,Low final and peak success under this setting.
cube-double,cube-double-play-singletask-task4-v0,ours,probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3,2,0.002,1e-3,0.3,1,0.1,0.4,0,-0.30000000000000004,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_cube-double_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_cube-double_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_035908,rejected_low_success,Low final and peak success under this setting.
cube-double,cube-double-play-singletask-task4-v0,ours,probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3,3,0.002,1e-3,0.3,1,0.25,0.25,1,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_cube-double_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/o2o_smoke_cube-double_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/sd003_20260708_040130,rejected_low_success,Low final and peak success under this setting.
cube-double,cube-double-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,2,0.002,1e-3,0.3,50000,0.15,0.3,0,-0.15,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_cube-double_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_cube-double_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_041037,rejected_low_success,Low final and peak success under this setting.
cube-double,cube-double-play-singletask-task4-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,3,0.002,1e-3,0.3,50000,0.25,0.35,0,-0.09999999999999998,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_cube-double_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/o2o_smoke_cube-double_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/sd003_20260708_043239,rejected_low_success,Low final and peak success under this setting.
puzzle-4x4,puzzle-4x4-play-singletask-task3-v0,ours,probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3,2,0.002,1e-3,0.3,1,0.65,0.65,1,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_puzzle-4x4_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_puzzle-4x4_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_040350,accepted_short_screen,Short-screen candidate retained; needs second seed and longer run before final selection.
puzzle-4x4,puzzle-4x4-play-singletask-task3-v0,ours,probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3,3,0.002,1e-3,0.3,1,0.0,0.0,0,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_puzzle-4x4_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/o2o_smoke_puzzle-4x4_ours_probe_rs_step1_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/sd003_20260708_040611,rejected_low_success,Low final and peak success under this setting.
puzzle-4x4,puzzle-4x4-play-singletask-task3-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,2,0.002,1e-3,0.3,50000,0.1,0.75,0,-0.65,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_puzzle-4x4_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/o2o_smoke_puzzle-4x4_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed2/sd002_20260708_045442,rejected_collapse,Recovered or peaked but collapsed by final evaluation.
puzzle-4x4,puzzle-4x4-play-singletask-task3-v0,ours,tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3,3,0.002,1e-3,0.3,50000,0.2,0.2,50000,0.0,/root/autodl-tmp/sb-value-flows-runs/offline2online_single4090/exp/o2o_smoke_puzzle-4x4_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/o2o_smoke_puzzle-4x4_ours_tune_rs_50k_normq_r0p002_lr3e-5_lam1e-3_tau0p3_seed3/sd003_20260708_051844,rejected_low_success,Low final and peak success under this setting.
