server,source_family,eval_csv,train_csv,command_txt,run_dir,env,domain,task,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,success_peak_after_500k,peak_step_after_500k,curve_points,trajectory_full,mtime,error
single4090,actorgeo,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed0/sd000_20260525_100350/eval.csv,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed0/sd000_20260525_100350/train.csv,,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed0/sd000_20260525_100350,UNKNOWN,UNKNOWN,UNKNOWN,ActorGeo,0,1000000,1000000,COMPLETED,0.1,0.1,932.2,0.4,650000,0.4,650000,21,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0.1 -> 250000:0 -> 300000:0.1 -> 350000:0.1 -> 400000:0.1 -> 450000:0.2 -> 500000:0.1 -> 550000:0 -> 600000:0.2 -> 650000:0.4 -> 700000:0.1 -> 750000:0 -> 800000:0.1 -> 850000:0.2 -> 900000:0 -> 950000:0.3 -> 1000000:0.1,2026-05-25T14:06:06,
single4090,actorgeo,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed1/sd001_20260525_180814/eval.csv,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed1/sd001_20260525_180814/train.csv,,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed1/sd001_20260525_180814,UNKNOWN,UNKNOWN,UNKNOWN,ActorGeo,1,1000000,1000000,COMPLETED,0,0,1000,0.3,100000,0.2,500000,21,1:0 -> 50000:0 -> 100000:0.3 -> 150000:0 -> 200000:0.2 -> 250000:0 -> 300000:0.1 -> 350000:0 -> 400000:0.1 -> 450000:0.1 -> 500000:0.2 -> 550000:0 -> 600000:0.1 -> 650000:0.1 -> 700000:0.1 -> 750000:0 -> 800000:0.2 -> 850000:0 -> 900000:0 -> 950000:0.1 -> 1000000:0,2026-05-25T22:11:28,
single4090,actorgeo,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed2/sd002_20260526_021340/eval.csv,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed2/sd002_20260526_021340/train.csv,,/root/sb-value-flows/exp/pm_medium_1m_methods_4090/M1M_PM_ActorGeo_seed2/sd002_20260526_021340,UNKNOWN,UNKNOWN,UNKNOWN,ActorGeo,2,1000000,1000000,COMPLETED,0.1,0.1,978.9,0.3,250000,0.3,700000,21,1:0 -> 50000:0 -> 100000:0.1 -> 150000:0 -> 200000:0 -> 250000:0.3 -> 300000:0.1 -> 350000:0 -> 400000:0.2 -> 450000:0.2 -> 500000:0.1 -> 550000:0 -> 600000:0.2 -> 650000:0 -> 700000:0.3 -> 750000:0.3 -> 800000:0.1 -> 850000:0 -> 900000:0.1 -> 950000:0 -> 1000000:0.1,2026-05-26T06:15:24,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A1_action_std_lam0p001_seed2/sd002_20260609_071050,cube-double-play-singletask-task2-v0,cube-double-play,task2,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.1,-875,464.3,0.1,250000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.1,2026-06-09T08:23:36,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_A2_action_std_lam0p003_seed2/sd002_20260609_082343,cube-double-play-singletask-task2-v0,cube-double-play,task2,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.3,-763.1,395.8,0.3,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.3,2026-06-09T09:36:25,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p0003_seed2/sd002_20260609_044414,cube-double-play-singletask-task2-v0,cube-double-play,task2,MinimalSB_lam0p0003,2,300000,300000,COMPLETED,0.3,-726.2,396.3,0.3,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.3,2026-06-09T05:58:01,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_MinimalSB_lam0p001_seed2/sd002_20260609_055808,cube-double-play-singletask-task2-v0,cube-double-play,task2,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0.3,-672.3,394.1,0.3,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.1 -> 250000:0 -> 300000:0.3,2026-06-09T07:10:44,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_P0_particle_seed2/sd002_20260609_033015,cube-double-play-singletask-task2-v0,cube-double-play,task2,P0_particle,2,300000,300000,COMPLETED,0.2,-841.9,430.1,0.2,300000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.2,2026-06-09T04:44:07,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260609_093631,cube-double-play-singletask-task2-v0,cube-double-play,task2,R2_residual_disagree_lam0p001,2,300000,300000,COMPLETED,0.2,-865.4,454.7,0.2,250000,,,7,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0.1 -> 250000:0.2 -> 300000:0.2,2026-06-09T10:49:51,
single4090,bad_task_repair_single4090,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941/train.csv,,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed0/sd000_20260612_002941,cube-double-play-singletask-task2-v0,cube-double-play,task2,R3_residual_disagree_typicality_lam0p001,0,1000000,900000,PARTIAL,0.8,-355.9,229.1,0.9,650000,0.9,650000,19,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.5 -> 350000:0.3 -> 400000:0.6 -> 450000:0.4 -> 500000:0.5 -> 550000:0.5 -> 600000:0.7 -> 650000:0.9 -> 700000:0.8 -> 750000:0.6 -> 800000:0.9 -> 850000:0.8 -> 900000:0.8,2026-06-12T04:05:33,
