env,config,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,valueflow_success_mean,exceeds_valueflow_final,high_then_final_collapse,trajectory,eval_csv,run_dir
puzzle-3x3-play-singletask-task5-v0,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.4,-1086.2,458.6,0.4,300000,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.1 -> 250000:0.1 -> 300000:0.4,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A1_action_std_lam0p001_seed2/sd002_20260616_204333/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A1_action_std_lam0p001_seed2/sd002_20260616_204333
puzzle-3x3-play-singletask-task5-v0,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.1,-1096.8,480,0.1,300000,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0.1,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A2_action_std_lam0p003_seed2/sd002_20260616_215841/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A2_action_std_lam0p003_seed2/sd002_20260616_215841
puzzle-3x3-play-singletask-task5-v0,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0,-1079.3,500,0.1,150000,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0 -> 250000:0 -> 300000:0,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_MinimalSB_lam0p001_seed2/sd002_20260616_192833/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_MinimalSB_lam0p001_seed2/sd002_20260616_192833
puzzle-3x3-play-singletask-task5-v0,MinimalSB_lam0p003,2,300000,300000,COMPLETED,0.2,-1068.7,452.5,0.2,300000,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0.1 -> 300000:0.2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_MinimalSB_lam0p003_seed2/sd002_20260616_181326/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_MinimalSB_lam0p003_seed2/sd002_20260616_181326
puzzle-3x3-play-singletask-task5-v0,P0_particle,2,300000,300000,COMPLETED,0,-1081.5,500,0,1,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_P0_particle_seed2/sd002_20260616_165821/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_P0_particle_seed2/sd002_20260616_165821
puzzle-3x3-play-singletask-task5-v0,R2_residual_disagree_lam0p001,2,300000,300000,COMPLETED,0,-1187.2,500,0,1,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0 -> 250000:0 -> 300000:0,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_R2_residual_disagree_lam0p001_seed2/sd002_20260616_231347/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_R2_residual_disagree_lam0p001_seed2/sd002_20260616_231347
puzzle-3x3-play-singletask-task5-v0,R3_residual_disagree_typicality_lam0p001,2,300000,300000,COMPLETED,0.3,-1031.7,436.9,0.4,200000,0.58,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.1 -> 200000:0.4 -> 250000:0.3 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260617_002927/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260617_002927
puzzle-4x4-play-singletask-task1-v0,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.4,-2092.9,407.1,0.4,250000,0.36,True,False,1:0 -> 50000:0 -> 100000:0.1 -> 150000:0.3 -> 200000:0.3 -> 250000:0.4 -> 300000:0.4,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A1_action_std_lam0p001_seed2/sd002_20260615_201119/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A1_action_std_lam0p001_seed2/sd002_20260615_201119
puzzle-4x4-play-singletask-task1-v0,A2_action_std_lam0p003,2,300000,300000,COMPLETED,0.5,-2013.6,391.7,0.5,300000,0.36,True,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0 -> 200000:0.3 -> 250000:0.4 -> 300000:0.5,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260615_212615/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260615_212615
puzzle-4x4-play-singletask-task1-v0,MinimalSB_lam0p001,2,300000,300000,COMPLETED,0.3,-2180.6,431.2,0.4,150000,0.36,False,False,1:0 -> 50000:0 -> 100000:0 -> 150000:0.4 -> 200000:0.3 -> 250000:0.2 -> 300000:0.3,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_MinimalSB_lam0p001_seed2/sd002_20260615_185554/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_MinimalSB_lam0p001_seed2/sd002_20260615_185554
