env,task,config_name,seed,target_steps,status,final_step,success_final,return_final,length_final,success_best,best_step,final_vs_valueflow,valueflow_success_mean,good_case_candidate,strong_good_case_candidate,best_high_final_collapse,curve_points,eval_csv,train_csv,run_dir,success_trajectory
cube-triple-play-singletask-task2-v0,cube-triple task2,A1_action_std_lam0p001,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task2-v0,cube-triple task2,A2_action_std_lam0p003,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A2_action_std_lam0p003_seed2/sd002_20260619_185645/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A2_action_std_lam0p003_seed2/sd002_20260619_185645/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A2_action_std_lam0p003_seed2/sd002_20260619_185645,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task2-v0,cube-triple task2,R2_residual_disagree_lam0p001,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260619_201319/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260619_201319/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_R2_residual_disagree_lam0p001_seed2/sd002_20260619_201319,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task2-v0,cube-triple task2,P0_particle,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_P0_particle_seed2/sd002_20260619_213021/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_P0_particle_seed2/sd002_20260619_213021/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_P0_particle_seed2/sd002_20260619_213021,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task4-v0,cube-triple task4,A1_action_std_lam0p001,2,300000,COMPLETED,300000,0.0,-2926.6,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task4-v0,cube-triple task4,A2_action_std_lam0p003,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A2_action_std_lam0p003_seed2/sd002_20260620_000317/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A2_action_std_lam0p003_seed2/sd002_20260620_000317/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A2_action_std_lam0p003_seed2/sd002_20260620_000317,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task4-v0,cube-triple task4,R2_residual_disagree_lam0p001,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_011933/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_011933/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_011933,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task4-v0,cube-triple task4,P0_particle,2,300000,COMPLETED,300000,0.0,-2984.9,1000.0,0.0,1,0.0,0.0,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_P0_particle_seed2/sd002_20260620_023626/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_P0_particle_seed2/sd002_20260620_023626/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_P0_particle_seed2/sd002_20260620_023626,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task5-v0,cube-triple task5,R2_residual_disagree_lam0p001,2,300000,COMPLETED,300000,0.0,-2820.2,1000.0,0.0,1,-0.02,0.02,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_R2_residual_disagree_lam0p001_seed2/sd002_20260620_035243/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_R2_residual_disagree_lam0p001_seed2/sd002_20260620_035243/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_R2_residual_disagree_lam0p001_seed2/sd002_20260620_035243,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
cube-triple-play-singletask-task5-v0,cube-triple task5,A1_action_std_lam0p001,2,300000,COMPLETED,300000,0.0,-3000.0,1000.0,0.0,1,-0.02,0.02,False,False,False,7,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/train.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930,1:0 -> 50k:0 -> 100k:0 -> 150k:0 -> 200k:0 -> 250k:0 -> 300k:0
